Name,Unit,Query,Min/max,Min/max clusters (10x),Bloom filter (10x),Dictionary (10x),Min/max clusters (100x),Bloom filter (100x),Dictionary (100x),Min/max clusters (1000x),Bloom filter (1000x),Dictionary (1000x)
Partitions scanned,,1,122071,121022,121862,122071,114148,57726,122071,75711,7685,122071
Partitions scanned,,2,122071,120971,121870,122071,113987,57647,122071,75629,7448,122071
Partitions scanned,,3,122071,121018,121856,122071,114133,57388,122071,75664,7413,122071
Partitions scanned,,4,122071,121024,121835,122071,114007,57848,122071,75675,7446,122071
Partitions scanned,,5,122071,121078,121875,122071,114075,57710,122071,75980,7404,122071
Partitions scanned,,6,122071,121009,121858,122071,114024,58036,122071,75708,7501,122071
Partitions scanned,,7,122071,120993,121854,122071,113973,57696,122071,75752,7606,122071
Partitions scanned,,8,122071,121091,121846,122071,114089,57458,122071,76026,7466,122071
Partitions scanned,,9,122071,121006,121875,122071,113936,57668,122071,75817,7463,122071
Partitions scanned,,10,122071,121018,121880,122071,114076,57924,122071,75800,7487,122071
Partitions scanned,,11,122071,121053,121869,122071,114088,57519,122071,76281,7681,122071
Partitions scanned,,12,122071,121028,121880,122071,114010,57738,122071,75674,7662,122071
Partitions scanned,,13,122071,121013,121880,122071,114155,57685,122071,75980,7486,122071
Partitions scanned,,14,122071,121076,121872,122071,114181,57569,122071,75818,7646,122071
Partitions scanned,,15,122071,121008,121873,122071,114113,57391,122071,75650,7589,122071
Partitions scanned,,16,122071,121028,121852,122071,114142,58088,122071,76043,7636,122071
Partitions scanned,,17,122071,121048,121868,122071,114020,57773,122071,75804,7723,122071
Partitions scanned,,18,122071,121018,121892,122071,113963,57727,122071,75621,7681,122071
Partitions scanned,,19,122071,121071,121863,122071,114075,57623,122071,75802,7575,122071
Partitions scanned,,20,122071,121060,121856,122071,114097,57368,122071,75857,7514,122071
Partitions scanned,,21,122071,120976,121895,122071,114021,57710,122071,75660,7659,122071
Partitions scanned,,22,122071,121015,121865,122071,114096,57480,122071,76080,7670,122071
Partitions scanned,,23,122071,121046,121872,122071,114100,57775,122071,75733,7804,122071
Partitions scanned,,24,122071,121044,121846,122071,114139,57695,122071,75953,7497,122071
Partitions scanned,,25,122071,121028,121873,122071,114247,57793,122071,75747,7433,122071
Partitions scanned,,26,122071,121036,121872,122071,114136,57684,122071,75980,7443,122071
Partitions scanned,,27,122071,121005,121901,122071,114165,57648,122071,75940,7546,122071
Partitions scanned,,28,122071,121056,121865,122071,114186,57798,122071,75764,7560,122071
Partitions scanned,,29,122071,121007,121854,122071,114134,57559,122071,75832,7481,122071
Partitions scanned,,30,122071,120981,121857,122071,114015,57780,122071,75884,7587,122071
Partitions scanned,,31,122071,121030,121876,122071,114012,57265,122071,75494,7422,122071
Partitions scanned,,32,122071,121024,121863,122071,114102,57490,122071,75829,7475,122071
Partitions scanned,,33,122071,121005,121876,122071,114010,57706,122071,75809,7688,122071
Partitions scanned,,34,122071,121049,121856,122071,114132,57997,122071,75856,7647,122071
Partitions scanned,,35,122071,121057,121863,122071,114088,57348,122071,75764,7512,122071
Partitions scanned,,36,122071,121007,121862,122071,114051,57743,122071,75860,7474,122071
Partitions scanned,,37,122071,120988,121869,122071,114055,57583,122071,76038,7685,122071
Partitions scanned,,38,122071,120997,121897,122071,113975,57735,122071,75720,7697,122071
Partitions scanned,,39,122071,121041,121895,122071,114142,57607,122071,75742,7544,122071
Partitions scanned,,40,122071,121035,121872,122071,114032,57788,122071,75952,7484,122071
Partitions scanned,,41,122071,120983,121883,122071,114133,57563,122071,75874,7656,122071
Partitions scanned,,42,122071,121009,121863,122071,113930,57430,122071,75975,7433,122071
Partitions scanned,,43,122071,121044,121862,122071,114068,57734,122071,75968,7595,122071
Partitions scanned,,44,122071,121001,121890,122071,114026,57930,122071,76125,7519,122071
Partitions scanned,,45,122071,121041,121843,122071,114190,57567,122071,75811,7494,122071
Partitions scanned,,46,122071,121062,121874,122071,114081,57497,122071,75954,7524,122071
Partitions scanned,,47,122071,120975,121835,122071,114030,57719,122071,75943,7382,122071
Partitions scanned,,48,122071,121046,121870,122071,114271,57740,122071,75889,7511,122071
Partitions scanned,,49,122071,121031,121864,122071,114116,57734,122071,75581,7566,122071
Partitions scanned,,50,122071,121007,121863,122071,114137,57717,122071,75607,7519,122071
Partitions scanned,,51,122071,121049,121861,122071,114300,57464,122071,75626,7598,122071
Partitions scanned,,52,122071,121027,121880,122071,114093,57700,122071,75929,7577,122071
Partitions scanned,,53,122071,121001,121861,122071,114174,57743,122071,75855,7562,122071
Partitions scanned,,54,122071,121083,121893,122071,114165,57681,122071,75771,7493,122071
Partitions scanned,,55,122071,121028,121853,122071,114027,57620,122071,75781,7422,122071
Partitions scanned,,56,122071,121035,121854,122071,114091,57397,122071,75793,7512,122071
Partitions scanned,,57,122071,120989,121859,122071,114041,57644,122071,75655,7337,122071
Partitions scanned,,58,122071,121057,121877,122071,114087,57402,122071,75880,7487,122071
Partitions scanned,,59,122071,121045,121859,122071,114103,57376,122071,75672,7578,122071
Partitions scanned,,60,122071,121021,121865,122071,113918,57401,122071,75855,7693,122071
Partitions scanned,,61,122071,121033,121892,122071,114091,58031,122071,75682,7439,122071
Partitions scanned,,62,122071,121013,121877,122071,114043,57992,122071,75773,7595,122071
Partitions scanned,,63,122071,121007,121901,122071,114118,57548,122071,75663,7682,122071
Partitions scanned,,64,122071,121049,121876,122071,114072,57835,122071,75668,7489,122071
Partitions scanned,,65,122071,121042,121875,122071,114111,57770,122071,75778,7826,122071
Partitions scanned,,66,122071,121048,121873,122071,113976,57098,122071,76020,7467,122071
Partitions scanned,,67,122071,120981,121878,122071,114005,57837,122071,75680,7573,122071
Partitions scanned,,68,122071,121003,121878,122071,114110,57459,122071,75720,7630,122071
Partitions scanned,,69,122071,121005,121876,122071,114076,57703,122071,75887,7607,122071
Partitions scanned,,70,122071,121027,121863,122071,114145,57375,122071,75758,7433,122071
Partitions scanned,,71,122071,121067,121868,122071,114070,57767,122071,75795,7679,122071
